
age,income,education,purchase_amount
25,35000,Bachelor,120000
40,80000,Master,270000
35,60000,Bachelor,180000
28,42000,HighSchool,130000
50,90000,PhD,320000
45,75000,Master,250000
30,50000,Bachelor,160000
55,95000,PhD,340000
32,58000,HighSchool,170000
38,67000,Master,200000
27,45000,HighSchool,140000
48,85000,PhD,300000
33,62000,Bachelor,175000
36,64000,Master,190000
29,47000,Bachelor,150000
41,78000,Master,230000
52,92000,PhD,310000
37,66000,Bachelor,195000
34,61000,HighSchool,180000
42,80000,Master,240000
